,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"InfomodeTitleProductionMedia","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]","$$Resources.TITLE[Media]"
,,,,,,,,,,,,
,,,,,,,,,,,,
"# Infomode tooltips.",,,,,,,,,,,,
"@@BuildingsAvailableToRent","Buildings available to rent are shown with 0% color.","Zur Miete verfügbare Gebäude werden mit 0 % Farbe angezeigt.","Los edificios disponibles para alquilar se muestran con 0% de color.","Les bâtiments disponibles à la location sont affichés avec 0% de couleur.","Gli edifici disponibili per l'affitto sono mostrati con colore 0%.","賃貸可能な建物は 0% の色で表示されます。","임대 가능한 건물은 0% 색상으로 표시됩니다.","Budynki dostępne do wynajęcia są oznaczone kolorem 0%.","Os edifícios disponíveis para alugar são mostrados com 0% de cor.","Здания, доступные для аренды, показаны цветом 0%.","可供出租的建筑物以 0% 颜色显示。","可供出租的建築物以 0% 顏色顯示。"
"InfomodeTooltipEmployeesResidential","Households (not employees) in residential buildings.","Haushalte (keine Arbeitnehmer) in Wohngebäuden.","Hogares (no empleados) en edificios residenciales.","Ménages (pas employés) dans des immeubles résidentiels.","Famiglie (non dipendenti) in edifici residenziali.","住宅ビルの世帯（従業員ではない）。","주거용 건물의 가구(직원 아님).","Gospodarstwa domowe (nie pracownicy) w budynkach mieszkalnych.","Domicílios (não empregados) em prédios residenciais.","Домохозяйства (не сотрудники) в жилых зданиях.","住宅楼内的家庭（非员工）。","住宅大樓內的家庭（非僱員）。"
"InfomodeTooltipEmployeesCommercial","Employees in commercial buildings.","Arbeitnehmer in Gewerbegebäuden.","Empleados en edificios comerciales.","Employés dans des immeubles commerciaux.","Dipendenti in edifici commerciali.","商業ビルの従業員。","상업용 건물의 직원.","Pracownicy w budynkach komercyjnych.","Empregados em prédios comerciais.","Сотрудники в коммерческих зданиях.","商业楼内的员工。","商業建築的員工。"
"InfomodeTooltipEmployeesExtractor","Employees in extractor buildings.","Mitarbeiter in Extraktionsgebäuden.","Empleados en edificios de extracción.","Employés dans les bâtiments d'extraction.","Dipendenti negli edifici di estrazione.","抽出棟の従業員","추출 시설 내의 직원들.","Pracownicy w budynkach z instalacjami ekstrakcyjnymi.","Empregados em edifícios de extração.","Сотрудникив зданиях экстракции.","提取车间的员工。","採掘車間的員工。"
"InfomodeTooltipEmployeesIndustrial","Employees in industrial buildings.","Arbeitnehmer in Industriegebäuden.","Empleados en edificios industriales.","Employés dans des immeubles industriels.","Dipendenti in edifici industriali.","工業ビルの従業員。","산업용 건물의 직원.","Pracownicy w budynkach przemysłowych.","Empregados em prédios industriais.","Сотрудники в промышленных зданиях.","工业楼内的员工。","工業建築內的員工。"
"InfomodeTooltipEmployeesOffice","Employees in office buildings.","Arbeitnehmer in Bürogebäuden.","Empleados en edificios de oficinas.","Employés dans des immeubles de bureaux.","Dipendenti in edifici per uffici.","オフィスビルの従業員。","사무실 건물의 직원.","Pracownicy w budynkach biurowych.","Empregados em prédios de escritórios.","Сотрудники в офисных зданиях.","办公楼内的员工。","辦公大樓裡的員工。"
"InfomodeTooltipEmployeesResidential","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipEmployeesCommercial","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipEmployeesExtractor","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipEmployeesIndustrial","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipEmployeesOffice","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent","@@BuildingsAvailableToRent"
"InfomodeTooltipEmployeesParking","Employees in parking lots and parking buildings.","Mitarbeiter in Parkplätzen und Parkhäusern.","Empleados en estacionamientos y edificios de estacionamiento.","Employés dans les parcs de stationnement et les bâtiments de stationnement.","Dipendenti nei parcheggi e negli edifici adibiti a parcheggio.","駐車場および駐車場ビルの従業員。","주차장과 주차 건물의 직원.","Pracownicy parkingów i budynków parkingowych.","Funcionários em estacionamentos e prédios de estacionamento.","Сотрудники на парковках и в парковочных зданиях.","停车场和停车楼的员工。","停車場和停車樓的員工。"
"InfomodeTooltipEmployeesRoadMaintenance","Employees in road maintenance depots.","Mitarbeiter in Straßenmeistereien.","Empleados en depósitos de mantenimiento de carreteras.","Employés dans les dépôts d'entretien des routes.","Dipendenti dei depositi di manutenzione stradale.","道路保守拠点の従業員。","도로 유지 관리 창고의 직원들.","Pracownicy w bazach utrzymania dróg.","Funcionários em depósitos de manutenção de estradas.","Работники дорожно-эксплуатационных депо.","道路养护站的员工。","公路養護站的員工。"
"InfomodeTooltipEmployeesElectricity","Employees in power generating buildings and emergency battery stations.","Mitarbeiter in Stromerzeugungsgebäuden und Notstrombatteriestationen.","Empleados en edificios generadores de energía y estaciones de baterías de emergencia.","Employés dans les bâtiments de production d’énergie et les stations de batteries de secours.","Dipendenti di edifici adibiti alla produzione di energia elettrica e stazioni di batterie di emergenza.","発電所ビルおよび緊急バッテリーステーションの従業員。","발전소 건물과 비상 배터리 스테이션의 직원.","Pracownicy w budynkach generujących energię i stacjach akumulatorów awaryjnych.","Funcionários em edifícios de geração de energia e estações de baterias de emergência.","Работники зданий, производящих электроэнергию, и аварийных аккумуляторных станций.","发电厂和应急电池站的员工。","發電大樓和緊急電池站的員工。"
"InfomodeTooltipEmployeesWater","Employees in fresh water buildings.","Mitarbeiter in Frischwassergebäuden.","Empleados en edificios de agua dulce.","Employés dans les bâtiments d'eau douce.","Dipendenti negli edifici adibiti all'acqua dolce.","真水を供給する建物内の従業員。","담수 건물의 직원.","Pracownicy w budynkach ze słodką wodą.","Funcionários em edifícios de água doce.","Сотрудники зданий, связанных с пресной водой.","淡水建筑中的员工。","供應淡水的建築物內的員工。"
"InfomodeTooltipEmployeesSewage","Employees in sewage treatment buildings.","Mitarbeiter in Kläranlagen.","Empleados en edificios de tratamiento de aguas residuales.","Employés dans les bâtiments de traitement des eaux usées.","Dipendenti negli edifici adibiti al trattamento delle acque reflue.","下水処理施設の従業員。","하수 처리 시설의 직원.","Pracownicy w budynkach oczyszczalni ścieków.","Funcionários em edifícios de tratamento de esgoto.","Работники очистных сооружений.","污水处理大楼的员工。","污水處理大樓的員工。"
"InfomodeTooltipEmployeesHealthcare","Employees in healthcare buildings.","Mitarbeiter in Gebäuden des Gesundheitswesens.","Empleados en edificios de atención médica.","Employés dans les bâtiments de soins de santé.","Dipendenti di strutture sanitarie.","医療施設の従業員。","의료 시설 건물의 직원.","Pracownicy w budynkach służby zdrowia.","Funcionários em edifícios de saúde.","Сотрудники в зданиях здравоохранения.","医疗保健大楼内的员工。","醫療保健大樓的員工。"
"InfomodeTooltipEmployeesDeathcare","Employees in deathcare buildings.","Mitarbeiter in Bestattungseinrichtungen.","Empleados en edificios funerarios.","Employés dans les établissements de soins funéraires.","Dipendenti degli edifici funebri.","死体安置施設の従業員。","장례 관리 시설의 직원.","Pracownicy zakładów pogrzebowych.","Funcionários em edifícios funerários.","Сотрудники похоронных бюро.","殡葬大楼内的员工。","殯儀館的員工。"
"InfomodeTooltipEmployeesGarbageManagement","Employees in garbage management buildings.","Mitarbeiter in Müllentsorgungsgebäuden.","Empleados en edificios de gestión de basura.","Employés dans les bâtiments de gestion des déchets.","Dipendenti degli edifici adibiti alla gestione dei rifiuti.","ゴミ管理ビルの従業員。","쓰레기 관리 건물의 직원들.","Pracownicy budynków zajmujących się wywozem śmieci.","Funcionários em prédios de gerenciamento de lixo.","Сотрудники зданий по управлению мусором.","垃圾管理大楼的员工。","垃圾管理大樓的員工。"
"InfomodeTooltipEmployeesEducation","Employees in elementary schools, high schools, colleges, and universities.","Mitarbeiter an Grundschulen, weiterführenden Schulen, Colleges und Universitäten.","Empleados de escuelas primarias, secundarias, colegios y universidades.","Employés des écoles primaires, secondaires, collèges et universités.","Dipendenti di scuole elementari, superiori, college e università.","小学校、高校、短期大学、大学の職員。","초등학교, 고등학교, 대학 및 대학교 직원.","Pracownicy szkół podstawowych, średnich, wyższych i uniwersytetów.","Funcionários de escolas de ensino fundamental, médio, faculdades e universidades.","Сотрудники начальных школ, средних школ, колледжей и университетов.","小学、中学、学院和大学的员工。","小學、高中、學院和大學的員工。"
"InfomodeTooltipEmployeesResearch","Employees in research buildings.","Beschäftigte in Forschungsgebäuden.","Empleados en edificios de investigación.","Employés dans les bâtiments de recherche.","Dipendenti negli edifici di ricerca.","研究棟の従業員。","연구 건물의 직원.","Pracownicy w budynkach badawczych.","Funcionários em edifícios de pesquisa.","Сотрудники исследовательских зданий.","建筑物内进行研究的员工。","進行研究的建築物內的員工。"
"InfomodeTooltipEmployeesFireRescue","Employees in fire & rescue buildings.","Mitarbeiter in Feuerwehr- und Rettungsgebäuden.","Empleados en edificios de bomberos y rescate.","Employés dans les bâtiments de pompiers et de secours.","Dipendenti degli edifici adibiti ai servizi antincendio e di soccorso.","消防救助ビルの従業員。","소방 및 구조 건물의 직원.","Pracownicy obiektów straży pożarnej i ratowniczej.","Funcionários em edifícios de bombeiros e salvamento.","Сотрудники пожарно-спасательных служб.","提供消防和救援服务的建筑物的员工。","消防救援大樓的員工。"
"InfomodeTooltipEmployeesDisasterControl","Employees in disaster control buildings.","Mitarbeiter in Gebäuden des Katastrophenschutzes.","Empleados en edificios de control de desastres.","Employés dans les bâtiments de contrôle des catastrophes.","Dipendenti negli edifici adibiti al controllo delle catastrofi.","防災ビル内の従業員。","재난 관리 건물의 직원.","Pracownicy budynków służących do kontroli klęsk żywiołowych.","Funcionários em edifícios de controle de desastres.","Сотрудники зданий, предназначенных для ликвидации последствий стихийных бедствий.","在建筑物内从事防灾工作的员工。","從事災害控制工作的建築物內的員工。"
"InfomodeTooltipEmployeesPolice","Employees in police stations and prisons.","Mitarbeiter in Polizeistationen und Gefängnissen.","Empleados en comisarías y prisiones.","Employés dans les commissariats de police et les prisons.","Dipendenti delle stazioni di polizia e delle carceri.","警察署や刑務所の職員。","경찰서와 교도소 직원.","Pracownicy posterunków policji i więzień.","Funcionários em delegacias de polícia e prisões.","Сотрудники полицейских участков и тюрем.","警察局和监狱的工作人员。","警察局和監獄的僱員。"
"InfomodeTooltipEmployeesAdministration","Employees in administration buildings.","Mitarbeiter in Verwaltungsgebäuden.","Empleados en edificios administrativos.","Employés dans les bâtiments administratifs.","Dipendenti negli edifici amministrativi.","管理棟の従業員。","행정 건물의 직원.","Pracownicy w budynkach administracyjnych.","Funcionários em prédios administrativos.","Сотрудники административных зданий.","行政大楼内的员工。","行政大樓內的員工。"
"InfomodeTooltipEmployeesTransportation","Employees in transport depots and transport stations.","Mitarbeiter in Verkehrsdepots und Verkehrsbahnhöfen.","Empleados en depósitos de transporte y estaciones de transporte.","Employés dans les dépôts et les gares de transport.","Dipendenti nei depositi e nelle stazioni di trasporto.","輸送拠点および輸送駅の従業員。","운송 창고와 운송 역의 직원.","Pracownicy baz transportowych i stacji transportowych.","Funcionários em depósitos de transporte e estações de transporte.","Работники транспортных депо и транспортных станций.","运输站工作人员。","運輸碼頭員工。"
"InfomodeTooltipEmployeesParkMaintenance","Employees in park maintenance depots.","Mitarbeiter in Parkpflegedepots.","Empleados en depósitos de mantenimiento de parques.","Employés dans les dépôts d'entretien du parc.","Dipendenti dei depositi di manutenzione dei parchi.","公園管理所の従業員。","공원 유지 관리 창고의 직원들입니다.","Pracownicy w punktach utrzymania parku.","Funcionários em depósitos de manutenção de parques.","Сотрудники парковых депо.","公园维护站的员工。","公園維修站的員工。"
"InfomodeTooltipEmployeesParksRecreation","Employees in parks and recreation buildings. Most parks do not have employees.","Mitarbeiter in Parks und Erholungsgebäuden. Die meisten Parks haben keine Mitarbeiter.","Empleados en parques y edificios de recreación. La mayoría de los parques no tienen empleados.","Employés dans les parcs et les bâtiments de loisirs. La plupart des parcs n'ont pas d'employés.","Dipendenti nei parchi e negli edifici ricreativi. La maggior parte dei parchi non ha dipendenti.","公園やレクリエーション施設の従業員。ほとんどの公園には従業員がいません。","공원 및 레크리에이션 빌딩의 직원. 대부분의 공원에는 직원이 없습니다.","Pracownicy w parkach i budynkach rekreacyjnych. Większość parków nie ma pracowników.","Funcionários em parques e prédios de recreação. A maioria dos parques não tem funcionários.","Сотрудники в парках и рекреационных зданиях. В большинстве парков нет сотрудников.","公园和娱乐场所的员工。大多数公园没有员工。","公園和娛樂場所的員工。大多數公園沒有員工。"
"InfomodeTooltipEmployeesPost","Employees in post buildings.","Mitarbeiter in Postgebäuden.","Empleados en edificios de correos.","Employés dans les bâtiments de poste.","Dipendenti negli edifici postali.","郵便局の従業員たち。","우체국 건물의 직원들입니다.","Pracownicy w budynkach pocztowych.","Funcionários em edifícios de correios.","Сотрудники в почтовых зданиях.","邮政大楼的员工。","郵政大樓的員工。"
"InfomodeTooltipEmployeesTelecom","Employees in telecommunication buildings.","Mitarbeiter in Telekommunikationsgebäuden.","Empleados en edificios de telecomunicaciones.","Employés dans les bâtiments de télécommunication.","Dipendenti negli edifici adibiti alle telecomunicazioni.","通信ビルの従業員。","통신건물의 직원.","Pracownicy budynków telekomunikacyjnych.","Funcionários em edifícios de telecomunicações.","Сотрудники телекоммуникационных зданий.","电信大楼内的员工。","電信大樓的員工。"
,,,,,,,,,,,,
"InfomodeTooltipVisitorsHealthcare","Patients in healthcare buildings.","Patienten in Gesundheitsgebäuden.","Pacientes en edificios sanitarios.","Patients dans les établissements de santé.","Pazienti in strutture sanitarie.","医療施設内の患者。","의료시설에 있는 환자.","Pacjenci w budynkach służby zdrowia.","Pacientes em edifícios de saúde.","Пациенты в медицинских учреждениях.","医疗保健大楼内的病人。","醫療大樓內的病患。"
"InfomodeTooltipVisitorsCemetery","Deceased in cemeteries.","Verstorbene auf Friedhöfen.","Personas muertas en los cementerios.","Décédés dans les cimetières.","Deceduti nei cimiteri.","墓地で亡くなった人々。","묘지에서 사망함.","Zmarłych na cmentarzach.","Mortos em cemitérios.","Умершие на кладбищах.","墓地里的死人。","墓地裡的死人。"
"InfomodeTooltipVisitorsCrematorium","Deceased in crematoriums.","Tote Menschen in Krematorien.","Personas muertas en crematorios.","Décédés dans les crématoriums.","Deceduti nei crematori.","火葬場の死者。","화장터에 있는 죽은 사람들.","Zmarłych w krematoriach.","Mortos em crematórios.","Мертвые люди в крематориях.","火葬场里的死人。","火葬場裡的死者。"
